"COD_DUG","DESC_DUG","NAZIONALE","LOCALE","LOCALE_NAZIONALE_ENTRAMBI","AMBITO","NAZ_SIN_1","NAZ_SIN_2","NAZ_SIN_3","NAZ_SIN_4","NAZ_SIN_5","NUMERO_LOC_COM","LABEL","NOME","CODICE","IRI","IRI_SHORT"
153,"PERCORSO CICLOPEDONALE","PERCORSO CICLOPEDONALE","","PERCORSO CICLOPEDONALE","Nazionale","PERCORSO CICLABILE","PISTA CICLABILE","PERCORSO PEDONALE","","",,"","","","",""
534,"SPIAZZO","SPIAZZO","","SPIAZZO","Nazionale","LARGO","SLARGO","PIAZZA","PIAZZALE","PIAZZETTA",,"","","","",""
86,"LARGO","LARGO","","LARGO","Nazionale","LARGHETTO","SLARGO","SPIAZZO","","",,"","","","",""
130,"PIAZZA","PIAZZA","","PIAZZA","Nazionale","PIAZZALE","PIAZZETTA","SPIAZZO","","",,"","","","",""
281,"SLARGO","SLARGO","","SLARGO","Nazionale","LARGHETTO","LARGO","SPIAZZO","","",,"","","","",""
210,"STRADA","STRADA","","STRADA","Nazionale","STRADA COMUNALE","STRADA CONSORTILE","STRADA PANORAMICA","STRADA PODERALE","STRADA VICINALE",,"","","","",""
579,"STRADA VICINALE","STRADA VICINALE","","STRADA VICINALE","Nazionale","STRADA","STRADA CONSORTILE","STRADA PODERALE","","",,"","","","",""
894,"STRADA PODERALE","STRADA PODERALE","","STRADA PODERALE","Nazionale","STRADA","STRADA CONSORTILE","STRADA VICINALE","","",,"","","","",""
890,"STRADA CONSORTILE","STRADA CONSORTILE","","STRADA CONSORTILE","Nazionale","STRADA","STRADA PODERALE","STRADA VICINALE","","",,"","","","",""
640,"VIA PROVINCIALE","VIA PROVINCIALE","","VIA PROVINCIALE","Nazionale","VIA","VIA COMUNALE","VIA NAZIONALE","","",,"","","","",""
619,"VIA COMUNALE","VIA COMUNALE","","VIA COMUNALE","Nazionale","VIA","VIA VICINALE","VIA NAZIONALE","VIA PROVINCIALE","",,"","","","",""
940,"VIA NAZIONALE","VIA NAZIONALE","","VIA NAZIONALE","Nazionale","VIA","VIA COMUNALE","VIA PROVINCIALE","","",,"","","","",""
236,"VIA","VIA","","VIA","Nazionale","VIA COMUNALE","VIA PANORAMICA","VIA VICINALE","VIA NAZIONALE","VIA PROVINCIALE",,"","","","",""
685,"VICOLO CIECO","VICOLO CIECO","","VICOLO CIECO","Nazionale","VICO CHIUSO","VICOLO CHIUSO","VICO CIECO","","",,"","","","",""
661,"VICO CHIUSO","VICO CHIUSO","","VICO CHIUSO","Nazionale","VICOLO CHIUSO","VICO CIECO","VICOLO CIECO","","",,"","","","",""
662,"VICO CIECO","VICO CIECO","","VICO CIECO","Nazionale","VICO CHIUSO","VICOLO CHIUSO","VICOLO CIECO","","",,"","","","",""
684,"VICOLO CHIUSO","VICOLO CHIUSO","","VICOLO CHIUSO","Nazionale","VICO CHIUSO","VICO CIECO","VICOLO CIECO","","",,"","","","",""
180,"SCALE","","SCALE","SCALE","Locale","","","","","",1,"ANCONA (42002)","ANCONA","042002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042002-(1861-03-17)","​042002-(1861-03-17)"
180,"SCALE","","SCALE","SCALE","Locale","","","","","",2,"LINGUAGLOSSA (87021)","LINGUAGLOSSA","087021","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/087021-(1861-03-17)","​087021-(1861-03-17)"
180,"SCALE","","SCALE","SCALE","Locale","","","","","",3,"POTENZA (76063)","POTENZA","076063","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/076063-(1861-03-17)","​076063-(1861-03-17)"
186,"SCALETTE","","SCALETTE","SCALETTE","Locale","","","","","",1,"CORINALDO (42015)","CORINALDO","042015","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042015-(1861-03-17)","​042015-(1861-03-17)"
186,"SCALETTE","","SCALETTE","SCALETTE","Locale","","","","","",2,"RIETI (57059)","RIETI","057059","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/057059-(1927-01-12)","​057059-(1927-01-12)"
186,"SCALETTE","","SCALETTE","SCALETTE","Locale","","","","","",3,"EBOLI (65050)","EBOLI","065050","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/065050-(1861-03-17)","​065050-(1861-03-17)"
186,"SCALETTE","","SCALETTE","SCALETTE","Locale","","","","","",4,"SCHIO (24100)","SCHIO","024100","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/024100-(1866-11-20)","​024100-(1866-11-20)"
192,"SCALONE","","SCALONE","SCALONE","Locale","","","","","",1,"ANCONA (42002)","ANCONA","042002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042002-(1861-03-17)","​042002-(1861-03-17)"
192,"SCALONE","","SCALONE","SCALONE","Locale","","","","","",2,"EBOLI (65050)","EBOLI","065050","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/065050-(1861-03-17)","​065050-(1861-03-17)"
194,"SDRUCCIOLO","","SDRUCCIOLO","SDRUCCIOLO","Locale","","","","","",1,"SCARPERIA E SAN PIERO (48053)","SCARPERIA E SAN PIERO","048053","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048053-(2014-01-01)","​048053-(2014-01-01)"
194,"SDRUCCIOLO","","SDRUCCIOLO","SDRUCCIOLO","Locale","","","","","",2,"RADDA IN CHIANTI (52023)","RADDA IN CHIANTI","052023","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/052023-(1861-03-17)","​052023-(1861-03-17)"
194,"SDRUCCIOLO","","SDRUCCIOLO","SDRUCCIOLO","Locale","","","","","",3,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
194,"SDRUCCIOLO","","SDRUCCIOLO","SDRUCCIOLO","Locale","","","","","",4,"L'AQUILA (66049)","L'AQUILA","066049","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/066049-(1861-03-17)","​066049-(1861-03-17)"
526,"SELCIATO","","SELCIATO","SELCIATO","Locale","","","","","",1,"PADOVA (28060)","PADOVA","028060","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/028060-(1866-11-20)","​028060-(1866-11-20)"
229,"SOPPORTICO","","SOPPORTICO","SOPPORTICO","Locale","","","","","",1,"TRICARICO (77028)","TRICARICO","077028","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/077028-(1927-01-12)","​077028-(1927-01-12)"
376,"SOPRAELEVATA","","SOPRAELEVATA","SOPRAELEVATA","Locale","","","","","",1,"MILANO (15146)","MILANO","015146","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/015146-(1861-03-17)","​015146-(1861-03-17)"
249,"SOTOPORTEGO","","SOTOPORTEGO","SOTOPORTEGO","Locale","","","","","",1,"VENEZIA (27042)","VENEZIA","027042","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027042-(1866-11-20)","​027042-(1866-11-20)"
530,"SOTTOPASSAGGIO","","SOTTOPASSAGGIO","SOTTOPASSAGGIO","Locale","","","","","",1,"PADOVA (28060)","PADOVA","028060","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/028060-(1866-11-20)","​028060-(1866-11-20)"
530,"SOTTOPASSAGGIO","","SOTTOPASSAGGIO","SOTTOPASSAGGIO","Locale","","","","","",2,"TORINO (1272)","TORINO","001272","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/001272-(1861-03-17)","​001272-(1861-03-17)"
204,"SOTTOPORTICO","","SOTTOPORTICO","SOTTOPORTICO","Locale","","","","","",1,"VILLAPIANA (78154)","VILLAPIANA","078154","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/078154-(1861-03-17)","​078154-(1861-03-17)"
204,"SOTTOPORTICO","","SOTTOPORTICO","SOTTOPORTICO","Locale","","","","","",2,"ANCONA (42002)","ANCONA","042002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042002-(1861-03-17)","​042002-(1861-03-17)"
204,"SOTTOPORTICO","","SOTTOPORTICO","SOTTOPORTICO","Locale","","","","","",3,"TRENTO (22205)","TRENTO","022205","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/022205-(1923-02-14)","​022205-(1923-02-14)"
204,"SOTTOPORTICO","","SOTTOPORTICO","SOTTOPORTICO","Locale","","","","","",4,"MANTOVA (20030)","MANTOVA","020030","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020030-(1866-11-20)","​020030-(1866-11-20)"
204,"SOTTOPORTICO","","SOTTOPORTICO","SOTTOPORTICO","Locale","","","","","",5,"MOTTA DI LIVENZA (26049)","MOTTA DI LIVENZA","026049","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/026049-(1866-11-20)","​026049-(1866-11-20)"
206,"SOTTOVIA","","SOTTOVIA","SOTTOVIA","Locale","","","","","",1,"ROMA (58091)","ROMA","058091","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/058091-(1871-01-15)","​058091-(1871-01-15)"
532,"SPALTO","","SPALTO","SPALTO","Locale","","","","","",1,"ALESSANDRIA (6003)","ALESSANDRIA","006003","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/006003-(1861-03-17)","​006003-(1861-03-17)"
569,"STRADA RURALE","","STRADA RURALE","STRADA RURALE","Locale","","","","","",1,"CARENNO (97014)","CARENNO","097014","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097014-(1995-01-01)","​097014-(1995-01-01)"
903,"STRETTA","","STRETTA","STRETTA","Locale","","","","","",1,"ALMENNO SAN BARTOLOMEO (16006)","ALMENNO SAN BARTOLOMEO","016006","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016006-(1861-03-17)","​016006-(1861-03-17)"
582,"STRETTO","","STRETTO","STRETTO","Locale","","","","","",1,"BARCELLONA POZZO DI GOTTO (83005)","BARCELLONA POZZO DI GOTTO","083005","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/083005-(1861-03-17)","​083005-(1861-03-17)"
586,"STRETTOLA","","STRETTOLA","STRETTOLA","Locale","","","","","",1,"AVELLINO (64008)","AVELLINO","064008","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/064008-(1861-03-17)","​064008-(1861-03-17)"
63,"SUBBORGO","","SUBBORGO","SUBBORGO","Locale","","","","","",1,"CESENA (40007)","CESENA","040007","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/040007-(1861-03-17)","​040007-(1861-03-17)"
218,"SUPPORTICO","","SUPPORTICO","SUPPORTICO","Locale","","","","","",1,"PANNARANO (62047)","PANNARANO","062047","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/062047-(1861-03-17)","​062047-(1861-03-17)"
218,"SUPPORTICO","","SUPPORTICO","SUPPORTICO","Locale","","","","","",2,"CASTELMEZZANO (76024)","CASTELMEZZANO","076024","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/076024-(1861-03-17)","​076024-(1861-03-17)"
300,"ACCESSO","","ACCESSO","ACCESSO","Locale","","","","","",1,"JESOLO (27019)","JESOLO","027019","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027019-(1866-11-20)","​027019-(1866-11-20)"
300,"ACCESSO","","ACCESSO","ACCESSO","Locale","","","","","",2,"ANCONA (42002)","ANCONA","042002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042002-(1861-03-17)","​042002-(1861-03-17)"
300,"ACCESSO","","ACCESSO","ACCESSO","Locale","","","","","",3,"CAGLI (41007)","CAGLI","041007","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/041007-(1861-03-17)","​041007-(1861-03-17)"
191,"ACCORCIATOIA","","ACCORCIATOIA","ACCORCIATOIA","Locale","","","","","",1,"MONDOVI' (4130)","MONDOVI'","004130","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/004130-(1861-03-17)","​004130-(1861-03-17)"
288,"AIA","","AIA","AIA","Locale","","","","","",1,"LUCOLI (66052)","LUCOLI","066052","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/066052-(1861-03-17)","​066052-(1861-03-17)"
288,"AIA","","AIA","AIA","Locale","","","","","",2,"SAN MARCELLO PITEGLIO (47024)","SAN MARCELLO PITEGLIO","047024","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/047024-(2017-01-01)","​047024-(2017-01-01)"
2,"ANDRONA","","ANDRONA","ANDRONA","Locale","","","","","",1,"GORIZIA (31007)","GORIZIA","031007","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/031007-(1927-01-12)","​031007-(1927-01-12)"
2,"ANDRONA","","ANDRONA","ANDRONA","Locale","","","","","",2,"TRENTO (22205)","TRENTO","022205","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/022205-(1923-02-14)","​022205-(1923-02-14)"
4,"ARCHIVOLTO","","ARCHIVOLTO","ARCHIVOLTO","Locale","","","","","",1,"LOANO (9034)","LOANO","009034","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/009034-(1927-01-12)","​009034-(1927-01-12)"
4,"ARCHIVOLTO","","ARCHIVOLTO","ARCHIVOLTO","Locale","","","","","",2,"GENOVA (10025)","GENOVA","010025","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/010025-(1874-01-01)","​010025-(1874-01-01)"
14,"BAGLIO","","BAGLIO","BAGLIO","Locale","","","","","",1,"PALERMO (82053)","PALERMO","082053","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/082053-(1861-03-17)","​082053-(1861-03-17)"
318,"BALUARDO","","BALUARDO","BALUARDO","Locale","","","","","",1,"CASALE MONFERRATO (6039)","CASALE MONFERRATO","006039","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/006039-(1861-03-17)","​006039-(1861-03-17)"
16,"BANCHINA","","BANCHINA","BANCHINA","Locale","","","","","",1,"ANCONA (42002)","ANCONA","042002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042002-(1861-03-17)","​042002-(1861-03-17)"
16,"BANCHINA","","BANCHINA","BANCHINA","Locale","","","","","",2,"LA SPEZIA (11015)","LA SPEZIA","011015","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/011015-(1923-12-22)","​011015-(1923-12-22)"
16,"BANCHINA","","BANCHINA","BANCHINA","Locale","","","","","",3,"IMPERIA (8031)","IMPERIA","008031","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/008031-(1861-03-17)","​008031-(1861-03-17)"
16,"BANCHINA","","BANCHINA","BANCHINA","Locale","","","","","",4,"SAN BENEDETTO DEL TRONTO (44066)","SAN BENEDETTO DEL TRONTO","044066","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/044066-(1861-03-17)","​044066-(1861-03-17)"
16,"BANCHINA","","BANCHINA","BANCHINA","Locale","","","","","",5,"SENIGAGLIA (42045)","SENIGAGLIA","042045","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042045-(1861-03-17)","​042045-(1861-03-17)"
16,"BANCHINA","","BANCHINA","BANCHINA","Locale","","","","","",6,"VENEZIA (27042)","VENEZIA","027042","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027042-(1866-11-20)","​027042-(1866-11-20)"
16,"BANCHINA","","BANCHINA","BANCHINA","Locale","","","","","",7,"VIAREGGIO (46033)","VIAREGGIO","046033","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/046033-(1861-03-17)","​046033-(1861-03-17)"
16,"BANCHINA","","BANCHINA","BANCHINA","Locale","","","","","",8,"CAGLIARI (92009)","CAGLIARI","092009","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/092009-(1991-12-10)","​092009-(1991-12-10)"
16,"BANCHINA","","BANCHINA","BANCHINA","Locale","","","","","",9,"SAVONA (9056)","SAVONA","009056","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/009056-(1927-01-12)","​009056-(1927-01-12)"
320,"BASTIONE","","BASTIONE","BASTIONE","Locale","","","","","",1,"VERONA (23091)","VERONA","023091","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/023091-(1927-02-16)","​023091-(1927-02-16)"
5,"CAL","","CAL","CAL","Locale","","","","","",1,"CONEGLIANO (26021)","CONEGLIANO","026021","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/026021-(1866-11-20)","​026021-(1866-11-20)"
38,"CAMPO","","CAMPO","CAMPO","Locale","","","","","",1,"VENEZIA (27042)","VENEZIA","027042","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027042-(1866-11-20)","​027042-(1866-11-20)"
38,"CAMPO","","CAMPO","CAMPO","Locale","","","","","",2,"OLBIA (90047)","OLBIA","090047","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/090047-(1861-03-17)","​090047-(1861-03-17)"
38,"CAMPO","","CAMPO","CAMPO","Locale","","","","","",3,"DOLO (27012)","DOLO","027012","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027012-(1866-11-20)","​027012-(1866-11-20)"
38,"CAMPO","","CAMPO","CAMPO","Locale","","","","","",4,"LOANO (9034)","LOANO","009034","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/009034-(1927-01-12)","​009034-(1927-01-12)"
149,"CARRAIA","","CARRAIA","CARRAIA","Locale","","","","","",1,"BAGNACAVALLO (39002)","BAGNACAVALLO","039002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/039002-(1861-03-17)","​039002-(1861-03-17)"
149,"CARRAIA","","CARRAIA","CARRAIA","Locale","","","","","",2,"RAVENNA (39014)","RAVENNA","039014","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/039014-(1861-03-17)","​039014-(1861-03-17)"
345,"CARRARA","","CARRARA","CARRARA","Locale","","","","","",1,"LUGO (39012)","LUGO","039012","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/039012-(1861-03-17)","​039012-(1861-03-17)"
345,"CARRARA","","CARRARA","CARRARA","Locale","","","","","",2,"BISCEGLIE (110003)","BISCEGLIE","110003","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/110003-(2009-07-27)","​110003-(2009-07-27)"
223,"CARRARONE","","CARRARONE","CARRARONE","Locale","","","","","",1,"RAVENNA (39014)","RAVENNA","039014","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/039014-(1861-03-17)","​039014-(1861-03-17)"
351,"CHIASSETTO","","CHIASSETTO","CHIASSETTO","Locale","","","","","",1,"BARISCIANO (66009)","BARISCIANO","066009","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/066009-(1861-03-17)","​066009-(1861-03-17)"
351,"CHIASSETTO","","CHIASSETTO","CHIASSETTO","Locale","","","","","",2,"MONTECALVO IRPINO (64052)","MONTECALVO IRPINO","064052","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/064052-(1861-03-17)","​064052-(1861-03-17)"
351,"CHIASSETTO","","CHIASSETTO","CHIASSETTO","Locale","","","","","",3,"L'AQUILA (66049)","L'AQUILA","066049","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/066049-(1861-03-17)","​066049-(1861-03-17)"
351,"CHIASSETTO","","CHIASSETTO","CHIASSETTO","Locale","","","","","",4,"PISA (50026)","PISA","050026","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/050026-(1861-03-17)","​050026-(1861-03-17)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",1,"MONREALE (82049)","MONREALE","082049","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/082049-(1861-03-17)","​082049-(1861-03-17)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",2,"PISA (50026)","PISA","050026","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/050026-(1861-03-17)","​050026-(1861-03-17)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",3,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",4,"RADDA IN CHIANTI (52023)","RADDA IN CHIANTI","052023","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/052023-(1861-03-17)","​052023-(1861-03-17)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",5,"RACALMUTO (84029)","RACALMUTO","084029","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/084029-(1861-03-17)","​084029-(1861-03-17)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",6,"RAGUSA (88009)","RAGUSA","088009","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/088009-(1927-01-12)","​088009-(1927-01-12)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",7,"SCARPERIA E SAN PIERO (48053)","SCARPERIA E SAN PIERO","048053","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048053-(2014-01-01)","​048053-(2014-01-01)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",8,"CAMPAGNATICO (53002)","CAMPAGNATICO","053002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/053002-(1861-03-17)","​053002-(1861-03-17)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",9,"CASCINA (50008)","CASCINA","050008","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/050008-(1861-03-17)","​050008-(1861-03-17)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",10,"CAMPAGNATICO (53002)","CAMPAGNATICO","053002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/053002-(1861-03-17)","​053002-(1861-03-17)"
48,"CHIASSO","","CHIASSO","CHIASSO","Locale","","","","","",11,"MONOPOLI (72030)","MONOPOLI","072030","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/072030-(1861-03-17)","​072030-(1861-03-17)"
361,"CONTRA'","","CONTRA'","CONTRA'","Locale","","","","","",1,"MAROSTICA (24057)","MAROSTICA","024057","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/024057-(1866-11-20)","​024057-(1866-11-20)"
54,"CONTRADA","","CONTRADA","CONTRADA","Locale","","","","","",1,"FERRARA (38008)","FERRARA","038008","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/038008-(1861-03-17)","​038008-(1861-03-17)"
54,"CONTRADA","","CONTRADA","CONTRADA","Locale","","","","","",2,"POGGIOFIORITO (69067)","","069067","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/069067-(1861-03-17)","​069067-(1861-03-17)"
54,"CONTRADA","","CONTRADA","CONTRADA","Locale","","","","","",3,"BRESCIA (17029)","BRESCIA","017029","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017029-(1861-03-17)","​017029-(1861-03-17)"
368,"COSTA","","COSTA","COSTA","Locale","","","","","",1,"CORINALDO (42015)","CORINALDO","042015","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042015-(1861-03-17)","​042015-(1861-03-17)"
368,"COSTA","","COSTA","COSTA","Locale","","","","","",2,"JESI (42021)","JESI","042021","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042021-(1861-03-17)","​042021-(1861-03-17)"
368,"COSTA","","COSTA","COSTA","Locale","","","","","",3,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
368,"COSTA","","COSTA","COSTA","Locale","","","","","",4,"L'AQUILA (66049)","L'AQUILA","066049","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/066049-(1861-03-17)","​066049-(1861-03-17)"
66,"CUPA","","CUPA","CUPA","Locale","","","","","",1,"AVELLINO (64008)","AVELLINO","064008","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/064008-(1861-03-17)","​064008-(1861-03-17)"
380,"EMICICLO","","EMICICLO","EMICICLO","Locale","","","","","",1,"AREZZO (51002)","AREZZO","051002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/051002-(1861-03-17)","​051002-(1861-03-17)"
72,"FONDACO","","FONDACO","FONDACO","Locale","","","","","",1,"GIOVINAZZO (72022)","GIOVINAZZO","072022","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/072022-(1861-03-17)","​072022-(1861-03-17)"
74,"FONDAMENTA","","FONDAMENTA","FONDAMENTA","Locale","","","","","",1,"CHIOGGIA (27008)","CHIOGGIA","027008","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027008-(1866-11-20)","​027008-(1866-11-20)"
262,"FORO","","FORO","FORO","Locale","","","","","",1,"MACERATA (43023)","MACERATA","043023","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/043023-(1861-03-17)","​043023-(1861-03-17)"
262,"FORO","","FORO","FORO","Locale","","","","","",2,"SIRACUSA (89017)","SIRACUSA","089017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/089017-(1861-03-17)","​089017-(1861-03-17)"
157,"GRADELLE","","GRADELLE","GRADELLE","Locale","","","","","",1,"AVELLINO (64008)","AVELLINO","064008","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/064008-(1861-03-17)","​064008-(1861-03-17)"
157,"GRADELLE","","GRADELLE","GRADELLE","Locale","","","","","",2,"MATERA (77014)","MATERA","077014","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/077014-(1927-01-12)","​077014-(1927-01-12)"
82,"GRADINI","","GRADINI","GRADINI","Locale","","","","","",1,"SALERNO (65116)","SALERNO","065116","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/065116-(1861-03-17)","​065116-(1861-03-17)"
84,"GRADONI","","GRADONI","GRADONI","Locale","","","","","",1,"CAMPAGNA (65022)","CAMPAGNA","065022","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/065022-(1861-03-17)","​065022-(1861-03-17)"
84,"GRADONI","","GRADONI","GRADONI","Locale","","","","","",2,"TRICARICO (77028)","TRICARICO","077028","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/077028-(1927-01-12)","​077028-(1927-01-12)"
84,"GRADONI","","GRADONI","GRADONI","Locale","","","","","",3,"MATERA (77014)","MATERA","077014","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/077014-(1927-01-12)","​077014-(1927-01-12)"
