DATA_INIZIO_AMMINISTRATIVA,DATA_FINE_AMMINISTRATIVA,COD_CATASTO,PRO_COM,PRO_COM_T,COMUNE,COMUNE_IT,COMUNE_A,COD_DEN_STORICO,COD_UTS,ID_UTS_TIPO,DESC_UTS_TIPO,COD_REG,SIGLA_UTS,COD_RIP
14-12-1928,11-02-1940,H956,21081,021081,San Lorenzo in Pusteria/St. Lorenzen,SAN LORENZO IN PUSTERIA,ST. LORENZEN,021526,021,1,Provincia,00,BZ,2
14-12-1928,11-02-1940,H956,21081,021081,San Lorenzo in Pusteria/St. Lorenzen,SAN LORENZO IN PUSTERIA,ST. LORENZEN,021526,021,1,Provincia,00,BZ,2
14-12-1928,11-02-1940,H956,21081,021081,San Lorenzo in Pusteria/St. Lorenzen,SAN LORENZO IN PUSTERIA,ST. LORENZEN,021526,021,1,Provincia,00,BZ,2
11-02-1940,01-01-1948,H956,21081,021081,San Lorenzo di Sebato/St. Lorenzen,SAN LORENZO DI SEBATO,ST. LORENZEN,,021,1,Provincia,00,BZ,2
01-01-1948,05-12-1972,H956,21081,021081,San Lorenzo di Sebato/St. Lorenzen,SAN LORENZO DI SEBATO,ST. LORENZEN,,021,1,Provincia,04,BZ,2
05-12-1972,31-12-9999,H956,21081,021081,San Lorenzo di Sebato/St. Lorenzen,SAN LORENZO DI SEBATO,ST. LORENZEN,,021,2,Provincia autonoma,04,BZ,2
16-10-1920,14-02-1923,H972,802428,802428,San Lugano/St. Lugano,SAN LUGANO,ST. LUGANO,,802,1,Provincia,00,TN,2
14-02-1923,02-03-1926,H972,21885,021885,San Lugano/St. Lugano,SAN LUGANO,ST. LUGANO,,022,1,Provincia,00,TN,2
02-03-1926,02-03-1926,H972,21885,021885,San Lugano/St. Lugano,SAN LUGANO,ST. LUGANO,,022,1,Provincia,00,TN,2
01-01-1948,05-12-1972,D923,21035,021035,Gargazzone/Gargazon,GARGAZZONE,GARGAZON,,021,1,Provincia,04,BZ,2
05-12-1972,14-04-1993,D923,21035,021035,Gargazzone/Gargazon,GARGAZZONE,GARGAZON,,021,2,Provincia autonoma,04,BZ,2
14-04-1993,31-12-9999,D923,21035,021035,Gargazzone/Gargazon,GARGAZZONE,GARGAZON,,021,2,Provincia autonoma,04,BZ,2
16-10-1920,14-02-1923,E069,802199,802199,Glorenza/Glurns,GLORENZA,GLURNS,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,E069,22403,022403,Glorenza/Glurns,GLORENZA,GLURNS,,022,1,Provincia,00,TN,2
12-01-1927,01-01-1948,E069,21036,021036,Glorenza/Glurns,GLORENZA,GLURNS,,021,1,Provincia,00,BZ,2
01-01-1948,05-12-1972,E069,21036,021036,Glorenza/Glurns,GLORENZA,GLURNS,,021,1,Provincia,04,BZ,2
05-12-1972,31-12-9999,E069,21036,021036,Glorenza/Glurns,GLORENZA,GLURNS,,021,2,Provincia autonoma,04,BZ,2
16-10-1920,14-02-1923,E174,802201,802201,Grìes di Bolzano/Gries,GRÌES DI BOLZANO,GRIES,021544,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,E174,21830,021830,Grìes di Bolzano/Gries,GRÌES DI BOLZANO,GRIES,021544,022,1,Provincia,00,TN,2
27-04-1923,13-12-1925,E174,21830,021830,Gries/Gries,GRIES,GRIES,,022,1,Provincia,00,TN,2
13-12-1925,13-12-1925,E174,21830,021830,Gries/Gries,GRIES,GRIES,,022,1,Provincia,00,TN,2
16-10-1920,14-02-1923,E181,802203,802203,Villa in Selva/Greinwalden,VILLA IN SELVA,GREINWALDEN,021545,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,E181,22404,022404,Villa in Selva/Greinwalden,VILLA IN SELVA,GREINWALDEN,021545,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,E181,22404,022404,Grimaldo/Greinwalden,GRIMALDO,GREINWALDEN,,022,1,Provincia,00,TN,2
12-01-1927,07-03-1928,E181,21831,021831,Grimaldo/Greinwalden,GRIMALDO,GREINWALDEN,,021,1,Provincia,00,BZ,2
07-03-1928,07-03-1928,E181,21831,021831,Grimaldo/Greinwalden,GRIMALDO,GREINWALDEN,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,E257,802206,802206,Gudon/Gufidaun,GUDON,GUFIDAUN,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,E257,22405,022405,Gudon/Gufidaun,GUDON,GUFIDAUN,,022,1,Provincia,00,TN,2
12-01-1927,04-06-1929,E257,21832,021832,Gudon/Gufidaun,GUDON,GUFIDAUN,,021,1,Provincia,00,BZ,2
04-06-1929,04-06-1929,E257,21832,021832,Gudon/Gufidaun,GUDON,GUFIDAUN,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,C737,802211,802211,Cissico/Issing,CISSICO,ISSING,021546,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,C737,22406,022406,Cissico/Issing,CISSICO,ISSING,021546,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,C737,22406,022406,Issengo/Issing,ISSENGO,ISSING,,022,1,Provincia,00,TN,2
16-10-1920,14-02-1923,I001,802429,802429,San Martino al Monte/St. Martin am Vorberg,SAN MARTINO AL MONTE,ST. MARTIN AM VORBERG,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,I001,22495,022495,San Martino al Monte/St. Martin am Vorberg,SAN MARTINO AL MONTE,ST. MARTIN AM VORBERG,,022,1,Provincia,00,TN,2
12-01-1927,09-12-1928,I001,21886,021886,San Martino al Monte/St. Martin am Vorberg,SAN MARTINO AL MONTE,ST. MARTIN AM VORBERG,,021,1,Provincia,00,BZ,2
09-12-1928,09-12-1928,I001,21886,021886,San Martino al Monte/St. Martin am Vorberg,SAN MARTINO AL MONTE,ST. MARTIN AM VORBERG,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,H988,802430,802430,San Martino in Badia/St. Martin in Thurn,SAN MARTINO IN BADIA,ST. MARTIN IN THURN,,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,H988,22496,022496,San Martino in Badia/St. Martin in Thurn,SAN MARTINO IN BADIA,ST. MARTIN IN THURN,,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,H988,22496,022496,San Martino/St. Martin,SAN MARTINO,ST. MARTIN,021528,022,1,Provincia,00,TN,2
12-01-1927,15-06-1928,H988,21082,021082,San Martino/St. Martin,SAN MARTINO,ST. MARTIN,021528,021,1,Provincia,00,BZ,2
15-06-1928,01-01-1948,H988,21082,021082,San Martino in Badia/St. Martin in Thurn,SAN MARTINO IN BADIA,ST. MARTIN IN THURN,,021,1,Provincia,00,BZ,2
15-06-1928,01-01-1948,H988,21082,021082,San Martino in Badia/St. Martin in Thurn,SAN MARTINO IN BADIA,ST. MARTIN IN THURN,,021,1,Provincia,00,BZ,2
15-06-1928,01-01-1948,H988,21082,021082,San Martino in Badia/St. Martin in Thurn,SAN MARTINO IN BADIA,ST. MARTIN IN THURN,,021,1,Provincia,00,BZ,2
01-01-1948,10-06-1964,H988,21082,021082,San Martino in Badia/St. Martin in Thurn,SAN MARTINO IN BADIA,ST. MARTIN IN THURN,,021,1,Provincia,04,BZ,2
10-06-1964,05-12-1972,H988,21082,021082,San Martino in Badia/St. Martin in Thurn,SAN MARTINO IN BADIA,ST. MARTIN IN THURN,,021,1,Provincia,04,BZ,2
05-12-1972,31-12-9999,H988,21082,021082,San Martino in Badia/St. Martin in Thurn,SAN MARTINO IN BADIA,ST. MARTIN IN THURN,,021,2,Provincia autonoma,04,BZ,2
16-10-1920,14-02-1923,I010,802431,802431,San Martino in Casies/St. Martin in Gsies,SAN MARTINO IN CASIES,ST. MARTIN IN GSIES,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,I010,22497,022497,San Martino in Casies/St. Martin in Gsies,SAN MARTINO IN CASIES,ST. MARTIN IN GSIES,,022,1,Provincia,00,TN,2
12-01-1927,15-05-1929,I010,21887,021887,San Martino in Casies/St. Martin in Gsies,SAN MARTINO IN CASIES,ST. MARTIN IN GSIES,,021,1,Provincia,00,BZ,2
