Livello;Livello Label;CODICE_ORIGINALE;CODICE_CHIAVE;LABEL;CODICE_PADRE
1;Area;1;1;IMMOBILI;
1;Area;2;2;TRASPORTI;
1;Area;3;3;AMBIENTE ED ENERGIA;
1;Area;4;4;AREE PRODUTTIVE;
1;Area;5;5;RICERCA, ITC, FORMAZIONE E ALTRO;
1;Area;6;6;SERVIZI PER LA P.A. E PER LA COLLETTIVITA';
2;Settore;5;1_5;INFRASTRUTTURE SOCIALI;1
2;Settore;1;2_1;INFRASTRUTTURE DI TRASPORTO;2
2;Settore;2;3_2;INFRASTRUTTURE AMBIENTALI E RISORSE IDRICHE;3
2;Settore;3;3_3;INFRASTRUTTURE DEL SETTORE ENERGETICO;3
2;Settore;4;4_4;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;4
2;Settore;6;4_6;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;4
2;Settore;9;4_9;SERVIZI ALLE IMPRESE;4
2;Settore;11;4_11;ISTRUZIONE, FORMAZIONE E SOSTEGNI PER IL MERCATO DEL LAVORO;4
2;Settore;6;5_6;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;5
2;Settore;7;5_7;INFRASTRUTTURE PER TELECOMUNICAZIONI E TECNOLOGIE INFORMATICHE;5
2;Settore;8;5_8;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;5
2;Settore;11;5_11;ISTRUZIONE, FORMAZIONE E SOSTEGNI PER IL MERCATO DEL LAVORO;5
2;Settore;10;6_10;SERVIZI PER LA P.A. E PER LA COLLETTIVITA';6
3;Sottosettore;8;1_5_8;SOCIALI E SCOLASTICHE;1_5
3;Sottosettore;10;1_5_10;ABITATIVE;1_5
3;Sottosettore;11;1_5_11;BENI CULTURALI;1_5
3;Sottosettore;12;1_5_12;SPORT, SPETTACOLO E TEMPO LIBERO;1_5
3;Sottosettore;30;1_5_30;SANITARIE;1_5
3;Sottosettore;31;1_5_31;CULTO;1_5
3;Sottosettore;32;1_5_32;DIFESA;1_5
3;Sottosettore;33;1_5_33;DIREZIONALI E AMMINISTRATIVE;1_5
3;Sottosettore;34;1_5_34;GIUDIZIARIE E PENITENZIARIE;1_5
3;Sottosettore;36;1_5_36;PUBBLICA SICUREZZA;1_5
3;Sottosettore;99;1_5_99;ALTRE INFRASTRUTTURE SOCIALI;1_5
3;Sottosettore;1;2_1_1;STRADALI;2_1
3;Sottosettore;2;2_1_2;AEROPORTUALI;2_1
3;Sottosettore;3;2_1_3;FERROVIE;2_1
3;Sottosettore;4;2_1_4;MARITTIME LACUALI E FLUVIALI;2_1
3;Sottosettore;5;2_1_5;TRASPORTO URBANO;2_1
3;Sottosettore;6;2_1_6;TRASPORTI MULTIMODALI E ALTRE MODALITA' DI TRASPORTO;2_1
3;Sottosettore;5;3_2_5;DIFESA DEL SUOLO;3_2
3;Sottosettore;10;3_2_10;SMALTIMENTO RIFIUTI;3_2
3;Sottosettore;11;3_2_11;PROTEZIONE, VALORIZZAZIONE E FRUIZIONE DELL'AMBIENTE;3_2
3;Sottosettore;12;3_2_12;RIASSETTO E RECUPERO DI SITI URBANI E PRODUTTIVI;3_2
3;Sottosettore;15;3_2_15;RISORSE IDRICHE E ACQUE REFLUE;3_2
3;Sottosettore;6;3_3_6;PRODUZIONE  DI ENERGIA;3_3
3;Sottosettore;16;3_3_16;DISTRIBUZIONE DI ENERGIA;3_3
3;Sottosettore;75;4_11_75;CONTRIBUTI ED INCENTIVI AL LAVORO;4_11
3;Sottosettore;80;4_11_80;ALTRI SOSTEGNI PER IL MERCATO DEL LAVORO;4_11
3;Sottosettore;39;4_4_39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;4_4
3;Sottosettore;2;4_6_2;OPERE, IMPIANTI ED ATTREZZATURE PER IL SETTORE SILVO-FORESTALE;4_6
3;Sottosettore;13;4_6_13;OPERE,  IMPIANTI ED ATTREZZATURE PER L'AGRICOLTURA, LA ZOOTECNIA E L'AGROALIMENTARE ;4_6
3;Sottosettore;14;4_6_14;IMPIANTI  ED ATTREZZATURE PER LA PESCA E L'ACQUACOLTURA;4_6
3;Sottosettore;39;4_6_39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;4_6
3;Sottosettore;41;4_6_41;OPERE E STRUTTURE PER IL TURISMO;4_6
3;Sottosettore;42;4_6_42;STRUTTURE ED ATTREZZATURE PER IL COMMERCIO E I SERVIZI;4_6
3;Sottosettore;43;4_6_43;OPERE E INFRASTRUTTURE PER L'IMPRESA SOCIALE;4_6
3;Sottosettore;20;4_9_20;SERVIZI ALLE IMPRESE AGRICOLE, FORESTALI E DELLA PESCA;4_9
3;Sottosettore;21;4_9_21;SERVIZI ALLE IMPRESE INDUSTRIALI;4_9
3;Sottosettore;22;4_9_22;SERVIZI ALLE IMPRESE TURISTICHE;4_9
3;Sottosettore;23;4_9_23;SERVIZI DI INTERMEDIAZIONE FINANZIARIA;4_9
3;Sottosettore;25;4_9_25;SERVIZI ALLE IMPRESE DEL COMMERCIO;4_9
3;Sottosettore;26;4_9_26;SERVIZI ALLE NUOVE IMPRESE (START UP) E ALLE IMPRESE SOCIALI;4_9
3;Sottosettore;70;5_11_70;SCUOLA E ISTRUZIONE;5_11
3;Sottosettore;71;5_11_71;FORMAZIONE PER IL LAVORO;5_11
3;Sottosettore;72;5_11_72;ALTRI STRUMENTI FORMATIVI E DI WORK-EXPERIENCE;5_11
3;Sottosettore;40;5_6_40;OPERE E INFRASTRUTTURE PER LA RICERCA;5_6
3;Sottosettore;17;5_7_17;INFRASTRUTTURE PER TELECOMUNICAZIONI;5_7
3;Sottosettore;18;5_7_18;TECNOLOGIE INFORMATICHE;5_7
3;Sottosettore;60;5_8_60;PROGETTI DI DIFFUSIONE E COOPERAZIONE PUBBLICO-PRIVATA;5_8
3;Sottosettore;61;5_8_61;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;5_8
3;Sottosettore;62;5_8_62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;5_8
3;Sottosettore;1;6_10_1;SERVIZI E TECNOLOGIE PER L'INFORMAZIONE E LE COMUNICAZIONI;6_10
3;Sottosettore;2;6_10_2;SERVIZI E APPLICAZIONI INFORMATICHE PER I CITTADINI E LE IMPRESE;6_10
3;Sottosettore;3;6_10_3;AZIONI INNOVATRICI;6_10
3;Sottosettore;30;6_10_30;SERVIZI A SUPPORTO DELLO SVILUPPO E DELLA QUALIFICAZIONE DEL SISTEMA DEL LAVORO;6_10
3;Sottosettore;32;6_10_32;DISPOSITIVI E STRUMENTI A SUPPORTO DELLA QUALIFICAZIONE DEL SISTEMA DELL'OFFERTA DI FORMAZIONE;6_10
3;Sottosettore;33;6_10_33;DISPOSITIVI E STRUMENTI A SUPPORTO DELLA QUALIFICAZIONE DEL SISTEMA DELL'OFFERTA DI ISTRUZIONE;6_10
3;Sottosettore;34;6_10_34;DISPOSITIVI E STRUMENTI A SUPPORTO DELL'INTEGRAZIONE FRA SISTEMI;6_10
3;Sottosettore;35;6_10_35;DISPOSITIVI E STRUMENTI A SUPPORTO DELLA QUALIFICAZIONE NEL SISTEMA DEI SERVIZI SOCIALI;6_10
3;Sottosettore;41;6_10_41;SERVIZI DI ASSISTENZA TECNICA ALLA P.A.;6_10
3;Sottosettore;43;6_10_43;SERVIZI DI ORIENTAMENTO E ACCOMPAGNAMENTO AL LAVORO;6_10
3;Sottosettore;92;6_10_92;SERVIZI AI DIPENDENTI DI IMPRESE PRODUTTIVE;6_10
3;Sottosettore;93;6_10_93;SERVIZI ESSENZIALI PER LA POPOLAZIONE RURALE;6_10
3;Sottosettore;94;6_10_94;ASSISTENZA SOCIALE E SERVIZI ALLA PERSONA;6_10
3;Sottosettore;99;6_10_99;ALTRI SERVIZI PER LA COLLETTIVITA';6_10
4;Categoria;100;1_5_10_100;ABITAZIONI RURALI E BORGHI RURALI;1_5_10
4;Categoria;103;1_5_10_103;FABBRICATI RESIDENZIALI URBANI;1_5_10
4;Categoria;104;1_5_10_104;EDIFICI DANNEGGIATI DA CALAMITA' NATURALI;1_5_10
4;Categoria;105;1_5_10_105;INFRASTRUTTURE CIVILI PER COMPLESSI RESIDENZIALI;1_5_10
4;Categoria;106;1_5_10_106;RESIDENZE PER COMUNITA';1_5_10
4;Categoria;999;1_5_10_999;ALTRI EDIFICI ABITATIVI;1_5_10
4;Categoria;93;1_5_11_93;MONUMENTI;1_5_11
4;Categoria;95;1_5_11_95;AREE ARCHEOLOGICHE;1_5_11
4;Categoria;96;1_5_11_96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;1_5_11
4;Categoria;97;1_5_11_97;MUSEI ARCHIVI E BIBLIOTECHE;1_5_11
4;Categoria;98;1_5_11_98;PATRIMONIO RURALE;1_5_11
4;Categoria;99;1_5_11_99;BENI CULTURALI MOBILI;1_5_11
4;Categoria;999;1_5_11_999;ALTRI BENI CULTURALI;1_5_11
4;Categoria;98;1_5_12_98;IMPIANTI SPORTIVI;1_5_12
4;Categoria;100;1_5_12_100;TEATRI ED ALTRE STRUTTURE PER LO SPETTACOLO;1_5_12
4;Categoria;101;1_5_12_101;STRUTTURE FIERISTICHE E CONGRESSUALI;1_5_12
4;Categoria;999;1_5_12_999;ALTRE STRUTTURE RICREATIVE;1_5_12
